When_,Which_of_the_following_challeng,Which_of_the_following_challe_1,Which_of_the_following_challe_2,Which_of_the_following_challe_3,Which_of_the_following_challe_4,Which_of_the_following_challe_5,Do_you_like_being_engaged_throu,Do_you_like_being_engaged_thr_1,Do_you_like_being_engaged_thr_2,What_neighborhood_do_you_live_i,What_neighborhood_do_you_live_1,Age___value,Gender___value,Education___value,Country_of_Origin,Preferred_Language,Annual_Income___value,Ballot,Locale,FID
2018-02-08T16:02:08.000Z,0,0,0,0,0,1,1,0,0,I live outside of the City,,> 60,Male,Bachelors Degree,USA,English,"$50,000 - $74,999",,en,1
2018-02-08T19:11:23.000Z,1,-1,0,0,1,0,0,1,0,Hawley Green,,> 60,Male,Some College,,,"$50,000 - $74,999",,en,2
2018-01-31T18:12:21.000Z,0,1,0,0,0,1,1,0,0,Court Woodlawn,,< 18,Female,Less than high school,,,,,en,3
2018-02-16T01:36:36.000Z,0,0,0,1,0,1,1,0,0,Tipp Hill,,19 - 42,Male,Associates Degree,,,"$15,000 - $24,999",,en,4
2018-02-07T15:49:13.000Z,1,0,0,0,1,0,1,0,0,Eastwood,,43 - 60,Female,Bachelors Degree,,,"$50,000 - $74,999",,en,5
2018-02-07T19:32:40.000Z,0,0,0,1,1,0,1,0,0,Downtown,,43 - 60,Male,Bachelors Degree,,,"$100,000 - $149,999",,en,6
2018-02-15T23:20:36.000Z,1,0,0,1,0,0,0,1,0,Westcott,,> 60,Female,Graduate or Professional Degree,,,,,en,7
2018-02-08T03:07:49.000Z,0,1,0,-1,1,0,1,0,0,Strathmore,,19 - 42,Female,Bachelors Degree,USA,English,"$75,000 - $99,999",,en,8
2018-01-31T23:17:05.000Z,1,0,0,0,0,1,1,0,0,South Valley,,43 - 60,Female,Graduate or Professional Degree,,,,,en,9
2018-02-20T15:12:07.000Z,1,1,0,0,0,0,0,0,0,Near Westside,,43 - 60,Female,Bachelors Degree,,,"$15,000 - $24,999",,en,10
2018-02-17T19:52:34.000Z,0,0,1,0,0,1,1,0,0,Sedgwick,,43 - 60,Female,Bachelors Degree,,,,,en,11
2018-02-15T00:41:49.000Z,0,0,0,0,0,1,0,1,0,Other,,> 60,Male,Graduate or Professional Degree,,,,,en,12
2018-02-07T19:10:56.000Z,1,1,-1,0,0,0,1,0,0,Westcott,,19 - 42,Female,Bachelors Degree,US,English,"$35,000 - $49,999",,en,13
2018-02-05T01:41:12.000Z,0,1,0,1,-1,0,1,0,0,Downtown,,19 - 42,Female,Bachelors Degree,,,"$100,000 - $149,999",,en,14
2018-02-14T01:30:16.000Z,1,0,0,-1,0,1,1,0,0,I live outside of the City,,> 60,Male,Bachelors Degree,,,"$75,000 - $99,999",,en,15
2018-02-07T22:57:36.000Z,0,1,0,0,1,-1,0,1,0,Strathmore,,19 - 42,Female,Graduate or Professional Degree,USA,english,"$35,000 - $49,999",,en,16
2018-02-20T15:15:44.000Z,1,1,0,0,-1,0,0,0,0,Skunk City,,19 - 42,Male,High School or GED,,,"Less than $10,000",,en,17
2018-02-07T21:42:55.000Z,-1,0,1,1,0,0,0,0,1,Salt Springs,,19 - 42,Female,Some College,,,"$35,000 - $49,999",,en,18
2018-02-12T14:11:27.000Z,0,1,0,0,0,1,1,0,0,I live outside of the City,,> 60,Female,Graduate or Professional Degree,,,"$100,000 - $149,999",,en,19
2018-02-07T20:11:43.000Z,1,0,1,0,0,0,0,1,0,I live outside of the City,,43 - 60,Male,Graduate or Professional Degree,,,"$50,000 - $74,999",,en,20
2018-02-14T17:16:36.000Z,0,0,-1,0,1,1,1,0,0,Sedgwick,,> 60,Male,Graduate or Professional Degree,,,,,en,21
2018-01-31T15:52:58.000Z,0,0,-1,1,0,1,1,0,0,Westcott,,> 60,Male,Graduate or Professional Degree,United States,English,"$75,000 - $99,999",,en,22
2018-02-07T16:14:12.000Z,0,1,1,-1,0,0,1,0,0,Sedgwick,,43 - 60,Female,Graduate or Professional Degree,,,,,en,23
2018-02-20T15:46:46.000Z,0,1,0,1,0,0,0,0,0,Westcott,,> 60,Male,Some College,,,"$15,000 - $24,999",,en,24
2018-02-20T15:43:10.000Z,0,1,0,1,0,0,0,0,0,Salt Springs,,43 - 60,Female,Some College,,,"$15,000 - $24,999",,en,25
2018-02-15T02:17:19.000Z,1,0,0,0,0,1,1,0,0,I live outside of the City,,> 60,Female,Graduate or Professional Degree,,,"$50,000 - $74,999",,en,26
2018-02-05T20:00:15.000Z,0,1,-1,1,0,0,0,1,0,Westcott,,> 60,Female,Bachelors Degree,,,"$35,000 - $49,999",,en,27
2018-02-20T15:48:46.000Z,0,1,0,0,0,1,0,0,0,Westcott,,19 - 42,Female,Graduate or Professional Degree,,,"$75,000 - $99,999",,en,28
2018-01-31T23:15:56.000Z,-1,1,0,0,1,0,1,0,0,Salt Springs,,19 - 42,Female,Graduate or Professional Degree,,,,,en,29
2018-02-14T00:28:41.000Z,1,0,0,0,0,1,1,0,0,I live outside of the City,,43 - 60,Female,Graduate or Professional Degree,,,"$35,000 - $49,999",,en,30
2018-02-08T20:02:12.000Z,1,0,1,0,-1,0,1,0,0,University Neighborhood,,43 - 60,Male,Graduate or Professional Degree,,,,,en,31
2018-01-31T23:56:08.000Z,1,0,0,1,0,0,1,0,0,Downtown,,19 - 42,Male,Graduate or Professional Degree,,,"$50,000 - $74,999",,en,32
2018-02-14T01:36:21.000Z,0,0,0,0,0,1,0,0,1,I live outside of the City,,43 - 60,Male,Graduate or Professional Degree,,,,,en,33
2018-02-07T22:45:02.000Z,0,0,0,1,0,1,0,0,0,Westcott,,> 60,Female,Graduate or Professional Degree,,,"$35,000 - $49,999",,en,34
2018-02-20T15:31:47.000Z,1,0,1,0,0,-1,0,0,0,Near Westside,,19 - 42,Male,High School or GED,,,"Less than $10,000",,en,35
2018-02-14T16:08:35.000Z,1,0,0,0,0,1,1,0,0,I live outside of the City,,43 - 60,Male,Graduate or Professional Degree,,,"$150,000 - $199,999",,en,36
2018-02-20T16:32:48.000Z,1,0,0,1,-1,0,0,0,0,South Valley,,43 - 60,Male,Associates Degree,,,,,en,37
2018-02-07T15:55:14.000Z,1,0,0,0,1,0,1,0,0,Eastwood,,43 - 60,Female,Some College,,,,,en,38
2018-02-07T17:22:42.000Z,1,0,0,0,-1,1,1,0,0,I live outside of the City,,19 - 42,Female,Graduate or Professional Degree,USA,French,"$50,000 - $74,999",,en,39
2018-02-20T15:14:57.000Z,0,1,0,1,0,0,0,0,0,Skunk City,,19 - 42,Female,High School or GED,,,,,en,40
2018-01-31T23:58:52.000Z,1,0,1,0,0,0,1,0,0,Westcott,,43 - 60,Male,Graduate or Professional Degree,United States,English,"$75,000 - $99,999",,en,41
2018-02-07T21:45:30.000Z,0,0,1,0,1,-1,1,0,0,I live outside of the City,,19 - 42,Male,Graduate or Professional Degree,,,"$75,000 - $99,999",,en,42
2018-02-07T19:33:46.000Z,0,0,-1,0,1,1,1,0,0,University Neighborhood,,19 - 42,Female,Bachelors Degree,United States,English,"$35,000 - $49,999",,en,43
2018-02-15T21:54:12.000Z,-1,0,1,0,1,0,1,0,0,Strathmore,,43 - 60,Male,Associates Degree,,,,,en,44
2018-02-07T17:04:53.000Z,0,1,0,0,1,-1,1,0,0,Sedgwick,,19 - 42,Male,Graduate or Professional Degree,,,"$100,000 - $149,999",,en,45
2018-01-31T23:26:50.000Z,1,-1,0,1,0,0,1,0,0,Brighton,,< 18,Male,Less than high school,United States of America,English,"Less than $10,000",,en,46
2018-02-08T15:26:01.000Z,1,-1,1,0,0,0,1,0,0,Winkworth,,43 - 60,Female,Graduate or Professional Degree,usa,english,"$100,000 - $149,999",,en,47
2018-02-07T20:16:38.000Z,0,1,0,0,0,1,1,0,0,Meadowbrook,,19 - 42,Female,Graduate or Professional Degree,,,"$50,000 - $74,999",,en,48
2018-02-09T16:08:00.000Z,0,1,-1,0,1,0,1,0,0,Salt Springs,,> 60,Male,Some College,,English,"Less than $10,000",,en,49
2018-02-12T13:11:08.000Z,0,0,-1,1,0,1,1,0,0,University Neighborhood,,43 - 60,Female,Graduate or Professional Degree,USA,English,"$100,000 - $149,999",,en,50
2018-02-20T16:01:45.000Z,0,1,0,1,0,-1,0,0,0,Northside,,> 60,Female,Some College,,,"$15,000 - $24,999",,en,51
2018-02-20T15:39:28.000Z,1,0,0,0,1,0,0,0,0,University Neighborhood,,> 60,Female,Associates Degree,,,"$50,000 - $74,999",,en,52
2018-02-07T20:34:32.000Z,0,-1,1,1,0,0,0,0,1,University Neighborhood,,> 60,Male,Graduate or Professional Degree,,,,,en,53
